,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FAM96A,0.468800245,-0.41871458,0.833,0.609,1
IL13RA1,0.000166297,-0.418919788,0.636,0.43,1
MAP3K13,6.49E-06,-0.418961774,0.539,0.361,0.168371697
PNPLA8,2.32E-09,-0.419684073,0.476,0.303,6.02E-05
GPBP1,2.32E-07,-0.419907364,0.612,0.397,0.006023234
DRAM2,0.318988405,-0.420435459,0.782,0.566,1
RPLP0,5.35E-52,-0.42093035,1,0.968,1.39E-47
FEM1B,3.31E-07,-0.422428113,0.273,0.18,0.008595541
IL4R,8.44E-08,-0.422813164,0.313,0.204,0.002189251
PTMA,6.64E-64,-0.42362902,1,0.995,1.72E-59
TP53I13,1.31E-09,-0.423781854,0.275,0.171,3.39E-05
CECR1,0.437280043,-0.423813235,0.849,0.643,1
SFPQ,0.617185181,-0.425277893,0.752,0.562,1
RPL36,1.48E-77,-0.425883302,1,0.984,3.83E-73
TYMP,0.001086611,-0.4261379,0.996,0.918,1
RAB20,1.02E-06,-0.426334396,0.643,0.425,0.026416643
SAV1,2.46E-07,-0.426339234,0.375,0.245,0.006392627
RBBP6,6.38E-08,-0.426438708,0.479,0.313,0.001654315
RBM47,0.7402712,-0.42647388,0.771,0.569,1
FAM195A,0.001477431,-0.427482526,0.547,0.388,1
NUDT4,3.23E-11,-0.427814541,0.387,0.237,8.38E-07
PPP1R18,0.068515503,-0.427992756,0.706,0.503,1
CHIC2,1.25E-07,-0.428593257,0.255,0.164,0.003230416
CLK1,9.32E-05,-0.429392476,0.599,0.414,1
NRP1,1.65E-09,-0.430723658,0.486,0.314,4.29E-05
DONSON,0.076530515,-0.430842623,0.281,0.228,1
TNFRSF14,0.000180499,-0.431455258,0.645,0.429,1
RP2,2.00E-07,-0.431958247,0.341,0.223,0.00518855
SNAP23,2.26E-11,-0.432049527,0.482,0.296,5.87E-07
RPS6KA3,5.32E-08,-0.432460121,0.423,0.274,0.001381271
EPC1,2.04E-06,-0.432832866,0.517,0.343,0.0529992
DAZAP1,2.20E-06,-0.43397539,0.379,0.254,0.056944218
USF2,0.001971543,-0.434773457,0.602,0.418,1
ATXN2L,6.34E-09,-0.436124995,0.254,0.158,0.000164439
C7orf73,0.67545498,-0.436870034,0.818,0.602,1
RPL35,9.69E-99,-0.4369257,1,0.991,2.51E-94
TMEM192,1.64E-09,-0.436992874,0.304,0.188,4.25E-05
PQLC1,8.95E-11,-0.438485039,0.334,0.203,2.32E-06
PRNP,0.040928854,-0.438910073,0.765,0.549,1
ZMIZ1,7.72E-06,-0.439611183,0.433,0.296,0.200274527
MT1F,2.73E-16,-0.439996029,0.259,0.145,7.09E-12
CCNG1,1.35E-05,-0.440149049,0.357,0.245,0.349311994
SPEN,1.48E-10,-0.441590506,0.285,0.173,3.83E-06
NADK,5.19E-08,-0.441799814,0.349,0.225,0.001345732
RPS12,8.03E-110,-0.443383549,1,0.998,2.08E-105
PPP1R9B,2.20E-09,-0.445342196,0.304,0.19,5.72E-05
SGTA,4.66E-08,-0.445785201,0.274,0.176,0.001207896
RPS18,1.90E-106,-0.446117319,1,0.998,4.93E-102
TFDP1,5.38E-08,-0.450499739,0.28,0.181,0.001395542
RABL6,1.24E-07,-0.451072475,0.282,0.182,0.003216363
SET,0.065981379,-0.451205433,0.851,0.656,1
RPL10,1.73E-101,-0.45408369,1,0.999,4.49E-97
HERPUD1,3.25E-05,-0.454568384,0.833,0.571,0.844208535
HM13,1.63E-06,-0.455520591,0.589,0.389,0.042376038
ZFHX3,4.21E-06,-0.455523658,0.481,0.329,0.109341588
VAMP5,5.83E-07,-0.455772849,0.735,0.517,0.015122782
RPL39,1.81E-110,-0.455989923,1,0.996,4.69E-106
PRKAR2A,2.63E-09,-0.456376279,0.369,0.232,6.81E-05
RPS15A,8.31E-102,-0.456743739,1,0.993,2.16E-97
CREBBP,1.14E-06,-0.456896074,0.277,0.184,0.029469197
CYFIP1,9.52E-08,-0.457516545,0.511,0.33,0.002470146
OSBPL8,0.003787819,-0.457656491,0.564,0.398,1
PPP3CA,4.50E-09,-0.45827745,0.416,0.264,0.000116762
HMGB2,1.25E-14,-0.458657482,0.637,0.393,3.24E-10
RPS3A,4.42E-84,-0.459442436,1,0.992,1.15E-79
TRIB1,1.01E-05,-0.460485092,0.457,0.318,0.262482424
IL18,0.013164878,-0.460486676,0.704,0.499,1
UTRN,1.49E-08,-0.461907691,0.321,0.205,0.000385346
KHSRP,2.78E-06,-0.462000701,0.329,0.22,0.072143264
SNHG7,6.74E-06,-0.463353905,0.428,0.29,0.174816462
AZIN1,3.93E-05,-0.464001119,0.522,0.353,1
EPN1,7.12E-05,-0.464025411,0.478,0.324,1
ANKRD13D,8.43E-07,-0.46424019,0.259,0.171,0.021859343
G3BP1,2.91E-06,-0.464389232,0.51,0.336,0.075547967
TRMT1,1.24E-09,-0.464742256,0.339,0.213,3.23E-05
CD4,0.046030561,-0.465468655,0.769,0.537,1
EEF1D,3.70E-52,-0.466081457,1,0.946,9.61E-48
YBX3,0.322001502,-0.466266491,0.84,0.627,1
MAPKAPK2,9.36E-06,-0.467763991,0.466,0.311,0.242938774
TSEN34,2.21E-10,-0.468471462,0.335,0.205,5.74E-06
RPL22L1,0.301954943,-0.469517786,0.797,0.576,1
SESTD1,6.24E-09,-0.469633695,0.28,0.177,0.000161892
PLPP3,1.84E-08,-0.470229963,0.257,0.163,0.000478118
YTHDF3,1.19E-07,-0.471410422,0.367,0.239,0.003089263
REPIN1,1.20E-06,-0.472123374,0.295,0.195,0.031237178
CTSZ,0.00039107,-0.473060717,1,0.926,1
GLS,1.17E-08,-0.473492878,0.386,0.247,0.000302397
ATP2A2,0.000268063,-0.473779025,0.514,0.352,1
RAB21,1.81E-06,-0.474372939,0.52,0.34,0.047018356
RAB35,1.93E-08,-0.476066462,0.277,0.176,0.000499745
ATXN1,4.09E-06,-0.476097079,0.349,0.236,0.105985518
KCTD20,5.15E-08,-0.476560836,0.32,0.207,0.001335203
RPL12,1.95E-116,-0.477199404,1,0.996,5.06E-112
LMO2,1.13E-06,-0.477732021,0.316,0.21,0.02931927
RBM23,0.000113229,-0.480297875,0.365,0.255,1
CYTH1,0.003036348,-0.480647643,0.564,0.396,1
HMOX1,6.51E-15,-0.481185844,0.893,0.598,1.69E-10
BLVRB,0.068944104,-0.482081751,0.899,0.657,1
CEBPA,5.11E-05,-0.482138728,0.482,0.33,1
PABPN1,1.23E-07,-0.482197237,0.466,0.3,0.003202232
SRGN,0.000738171,-0.483168433,0.999,0.962,1
SLAMF8,6.03E-06,-0.483865688,0.43,0.289,0.156459713
NAMPT,0.228714251,-0.485063885,0.962,0.768,1
DDX3X,0.93553979,-0.487433126,0.756,0.568,1
AMDHD2,4.75E-06,-0.487540683,0.328,0.223,0.123247283
CTDSP2,2.08E-07,-0.488198154,0.38,0.247,0.005408282
MAPK6,8.55E-07,-0.49062563,0.375,0.249,0.022190779
CTNNBIP1,8.36E-06,-0.491042861,0.385,0.258,0.216795361
JUNB,0.411148877,-0.492357012,0.99,0.855,1
FAM49B,0.017361115,-0.492779322,0.889,0.693,1
CREBRF,4.59E-09,-0.494154696,0.427,0.27,0.000119135
TAF13,3.73E-07,-0.49429319,0.309,0.203,0.009674217
MED13,2.73E-06,-0.494508461,0.302,0.202,0.070867642
MAN1A2,1.72E-06,-0.496088467,0.259,0.171,0.044542746
MFHAS1,1.95E-06,-0.498724646,0.251,0.167,0.050461345
MYO9B,0.031859105,-0.500933254,0.625,0.443,1
DDX17,0.635289422,-0.501796209,0.746,0.542,1
OGFRL1,0.000641487,-0.504141971,0.624,0.429,1
B4GALT5,1.93E-07,-0.504313177,0.304,0.197,0.004994451
CXXC5,2.47E-05,-0.506256674,0.343,0.238,0.639927975
FAM49A,4.48E-09,-0.506414516,0.393,0.25,0.000116224
EIF4E,0.000245912,-0.507591535,0.801,0.544,1
HNRNPH1,0.000718281,-0.507652323,0.682,0.472,1
RNF139,8.97E-07,-0.509270377,0.333,0.22,0.023270933
SAMD4B,8.70E-07,-0.509475757,0.261,0.171,0.022575474
SKA2,4.03E-08,-0.510525421,0.257,0.163,0.001046459
UBE3A,4.43E-05,-0.511385618,0.424,0.29,1
FAM91A1,1.66E-08,-0.51203414,0.297,0.189,0.000430632
PDGFC,2.35E-08,-0.512992198,0.252,0.16,0.000610305
FXYD6,5.16E-08,-0.513811349,0.253,0.162,0.001339108
CLEC7A,0.004364314,-0.514798312,0.875,0.695,1
MAFG,2.39E-07,-0.514846913,0.334,0.219,0.006190242
EPB41L3,8.88E-07,-0.514985496,0.444,0.292,0.023036793
ELOVL5,9.99E-06,-0.517834853,0.347,0.235,0.259266296
RPS6,4.51E-107,-0.519007549,1,0.994,1.17E-102
ZFP91,8.68E-06,-0.519268827,0.272,0.184,0.225247662
BLOC1S6,4.46E-05,-0.519441052,0.43,0.295,1
TBC1D1,0.000132833,-0.520295553,0.341,0.239,1
ADK,1.45E-07,-0.520947632,0.306,0.198,0.003762879
C12orf57,2.52E-05,-0.522309452,0.629,0.417,0.653225606
SNX9,8.32E-10,-0.522375084,0.419,0.263,2.16E-05
WIPF1,0.049922559,-0.522564088,0.69,0.483,1
SUSD6,5.44E-08,-0.526328373,0.34,0.218,0.001411707
TMEM8A,5.11E-08,-0.527530882,0.25,0.158,0.0013247
CCNY,4.32E-06,-0.530208122,0.335,0.224,0.112108062
RPS8,1.00E-111,-0.532008056,1,0.988,2.60E-107
SP3,5.61E-07,-0.533680701,0.266,0.173,0.014543526
RAP2A,6.66E-07,-0.533781968,0.355,0.234,0.017278808
LRRC58,4.99E-06,-0.535335866,0.289,0.195,0.129418685
MAFF,1.79E-07,-0.535959123,0.58,0.375,0.004652065
PLEK,0.656725733,-0.536417887,0.86,0.634,1
DNMT1,3.10E-07,-0.537325683,0.445,0.29,0.008045775
ST14,1.97E-08,-0.539176372,0.321,0.204,0.000510275
THUMPD3-AS1,8.75E-06,-0.539360776,0.371,0.251,0.227088765
WDR82,7.00E-06,-0.541165623,0.346,0.234,0.181712224
IFNGR2,0.017833472,-0.543684879,0.799,0.608,1
DCTN4,5.41E-06,-0.543782726,0.265,0.177,0.140259355
IDH1,0.000354346,-0.543784917,0.656,0.442,1
ALCAM,0.008784386,-0.544187686,0.612,0.433,1
SUZ12,0.000100382,-0.544291235,0.258,0.18,1
EIF5A,0.494412081,-0.544911122,0.723,0.558,1
MAPRE2,1.90E-07,-0.545069781,0.282,0.182,0.004920036
GNB4,0.003288767,-0.546831755,0.521,0.369,1
CTA-29F11.1,3.56E-07,-0.549204981,0.26,0.17,0.009239578
DENND4A,1.71E-09,-0.549894869,0.286,0.178,4.42E-05
MLXIP,2.48E-08,-0.550567363,0.287,0.182,0.000642685
PURB,4.08E-08,-0.550595077,0.304,0.195,0.001057326
ZNF385A,0.017022847,-0.550833073,0.526,0.377,1
MALAT1,1.84E-21,-0.550909633,1,0.983,4.76E-17
LRRC8C,1.85E-06,-0.554586793,0.256,0.169,0.048062721
PPP4R3A,9.36E-08,-0.555688607,0.383,0.248,0.002428042
STAT1,0.00264264,-0.556347773,0.692,0.484,1
STARD3,0.000314385,-0.556552251,0.318,0.224,1
TLE3,3.94E-08,-0.557431078,0.364,0.233,0.001021186
PSMA3-AS1,0.000387356,-0.55827723,0.407,0.286,1
SMAP2,2.07E-05,-0.559120792,0.493,0.329,0.536429309
CSGALNACT2,1.95E-07,-0.55929582,0.281,0.182,0.005059528
NFIL3,7.09E-06,-0.55972548,0.275,0.186,0.184054135
RPL36A,2.76E-19,-0.560733087,0.976,0.845,7.17E-15
PIK3R5,7.93E-05,-0.561287559,0.254,0.177,1
CHD1,4.07E-05,-0.562030333,0.423,0.293,1
CREBL2,1.17E-05,-0.562525731,0.498,0.332,0.304185925
PTEN,0.000515901,-0.562833176,0.367,0.259,1
RAB32,0.626461304,-0.562989192,0.663,0.49,1
NBEAL1,0.667224039,-0.566007857,0.666,0.488,1
C6orf62,0.019128351,-0.568383927,0.785,0.611,1
CLN8,2.97E-05,-0.568952947,0.446,0.301,0.770649161
TMEM123,0.002028739,-0.570962955,0.822,0.637,1
TPM1,8.51E-09,-0.571692459,0.304,0.192,0.000220705
HIPK3,2.69E-07,-0.572091424,0.339,0.221,0.006966151
PLEKHM2,1.63E-05,-0.572369958,0.347,0.235,0.421562312
GNPDA1,1.70E-07,-0.573541749,0.407,0.265,0.004418116
RIPK2,5.69E-07,-0.574967069,0.449,0.295,0.014756018
CDC42SE1,0.000467977,-0.577223556,0.54,0.373,1
SPAG9,0.000395854,-0.577490269,0.456,0.316,1
CELF2,0.407624304,-0.577625224,0.647,0.474,1
NPC1,2.51E-06,-0.578315644,0.284,0.189,0.065187104
WDR45B,0.000120245,-0.578807249,0.486,0.333,1
FAM105A,1.11E-05,-0.579207373,0.379,0.258,0.288657016
MAP3K2,0.01649897,-0.581342787,0.531,0.38,1
NPC2,7.30E-39,-0.581745477,1,0.983,1.89E-34
SH2B3,0.039618396,-0.58254755,0.567,0.401,1
PER1,1.72E-06,-0.583018205,0.264,0.175,0.044626063
TNFSF13B,0.504249742,-0.583473686,0.839,0.641,1
MYO5A,3.07E-05,-0.584460675,0.338,0.229,0.796774726
PPP1R15B,0.168808181,-0.584850303,0.615,0.447,1
DSE,0.035863642,-0.588076051,0.631,0.442,1
ACSL4,2.89E-05,-0.591272387,0.311,0.211,0.750127673
OTUD1,0.001117319,-0.592250764,0.619,0.434,1
TMEM107,3.17E-10,-0.593637756,0.392,0.247,8.22E-06
DAZAP2,7.55E-12,-0.595404644,0.898,0.734,1.96E-07
PIM1,0.000319105,-0.599212258,0.339,0.244,1
IFITM3,0.008762956,-0.59936181,0.907,0.706,1
RPL13,2.68E-176,-0.599461762,1,0.998,6.96E-172
AQP9,0.007994641,-0.600817831,0.425,0.312,1
ARHGEF2,2.36E-05,-0.601433911,0.385,0.258,0.611361466
JOSD1,3.11E-06,-0.602711183,0.332,0.221,0.080741497
NME4,1.65E-06,-0.603305392,0.283,0.188,0.042813754
DICER1,0.000123575,-0.603673948,0.383,0.262,1
LINC00936,0.282560721,-0.605712796,0.699,0.521,1
PIK3R1,1.17E-09,-0.607256923,0.285,0.175,3.03E-05
SCO2,8.96E-06,-0.61121691,0.536,0.354,0.232488603
TBL1XR1,7.78E-07,-0.614097648,0.371,0.242,0.020176384
DDX3Y,0.001171274,-0.616279412,0.419,0.303,1
MKNK2,4.24E-06,-0.616947532,0.268,0.179,0.109975694
LCP2,0.151013556,-0.61812389,0.647,0.463,1
PPP1R15A,0.000619195,-0.621037756,0.941,0.744,1
FOXN3,0.00543354,-0.622263564,0.498,0.35,1
CD83,0.019503196,-0.622341417,0.932,0.757,1
ARL5A,0.736863056,-0.622536929,0.682,0.497,1
CHST11,0.004434552,-0.623565908,0.42,0.3,1
MXD4,2.22E-05,-0.623927075,0.254,0.173,0.576975303
BTG2,4.67E-05,-0.624406903,0.569,0.392,1
CXCL3,0.01674584,-0.624927389,0.946,0.738,1
MTHFD2,0.05725503,-0.627689034,0.554,0.401,1
PPTC7,1.44E-05,-0.633705416,0.255,0.171,0.374370452
PPP1CB,0.203908968,-0.63637454,0.741,0.562,1
ARIH1,0.000299127,-0.636911785,0.345,0.244,1
CPM,0.003997988,-0.637055281,0.67,0.452,1
IL1RN,1.49E-08,-0.639725726,0.606,0.402,0.000386522
ITPRIPL2,8.14E-06,-0.640294575,0.267,0.179,0.211227081
JUND,1.10E-09,-0.641205147,0.954,0.799,2.86E-05
MDM4,1.68E-05,-0.642152279,0.299,0.203,0.437058495
RAB42,4.44E-12,-0.643126655,0.3,0.178,1.15E-07
CKS2,0.002220001,-0.646411155,0.382,0.283,1
MAP3K8,0.224519277,-0.646699121,0.738,0.57,1
DMXL2,0.003931111,-0.650771733,0.446,0.317,1
TSC22D2,0.000244533,-0.653091966,0.336,0.237,1
DUSP6,4.13E-08,-0.65397147,0.508,0.331,0.001071565
GPATCH2L,0.000598561,-0.654393438,0.304,0.216,1
USP12,7.39E-05,-0.655594878,0.282,0.194,1
MIR22HG,0.001098852,-0.656012088,0.347,0.25,1
QKI,0.084268643,-0.656584707,0.725,0.551,1
GNAQ,0.107588193,-0.658486059,0.664,0.512,1
NRAS,0.000710728,-0.658518634,0.302,0.215,1
SWAP70,3.98E-05,-0.660543089,0.371,0.252,1
KLF6,1.35E-15,-0.661189077,0.988,0.902,3.50E-11
CTD-2336O2.1,0.005123196,-0.663387047,0.323,0.234,1
PLK3,0.671801939,-0.669669287,0.554,0.424,1
CTSB,1.22E-06,-0.670465423,1,0.964,0.03167422
MIDN,0.141408056,-0.673267463,0.627,0.451,1
GRAMD1A,0.000142458,-0.673559763,0.267,0.184,1
KIAA0930,0.02017789,-0.675947641,0.469,0.334,1
TPD52L2,0.013164471,-0.680795141,0.365,0.27,1
EDEM1,2.67E-05,-0.683918183,0.271,0.184,0.693745074
CHPT1,0.00057433,-0.684048663,0.302,0.211,1
IFITM2,6.83E-07,-0.684569262,0.584,0.387,0.017716468
MCL1,2.93E-19,-0.687305018,0.976,0.85,7.61E-15
MZT2A,0.063008003,-0.687799868,0.545,0.384,1
C16orf72,0.015459063,-0.690010331,0.405,0.292,1
AP1B1,0.003432371,-0.690850736,0.507,0.35,1
MFSD12,0.001470047,-0.692124164,0.444,0.308,1
ITGAM,0.294371099,-0.692981495,0.534,0.399,1
AP2A2,7.82E-05,-0.696701992,0.394,0.27,1
IER2,0.06471308,-0.698834447,0.899,0.715,1
CLCN7,0.00341543,-0.701390821,0.274,0.199,1
FOS,0.246318993,-0.702321833,0.984,0.853,1
PTPRJ,0.000235251,-0.702336362,0.264,0.184,1
RELT,0.012798022,-0.702427043,0.26,0.195,1
RGS10,6.33E-12,-0.703527521,0.935,0.778,1.64E-07
DOCK10,0.000249122,-0.705116801,0.339,0.235,1
PLXND1,0.000688325,-0.70637885,0.356,0.251,1
KIF1B,1.66E-06,-0.707044909,0.322,0.212,0.043138201
ATF3,0.717887513,-0.707479928,0.554,0.44,1
RANBP2,0.000149342,-0.707809597,0.399,0.277,1
PTPRE,0.084860388,-0.70904669,0.512,0.376,1
SIGIRR,0.000884236,-0.71232433,0.274,0.196,1
